test_losses_mean,test_losses_std,test_loss_type,model_name,output_size,num_layers,hidden_size,dynamics
0.034121085,0.012651691,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output3,3,6,40,bistable2D
0.03420048,0.012651547,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output3,3,6,40,bistable2D
0.03388624,0.012519028,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output3,3,6,40,bistable2D
0.0057985466,0.0031162684,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output5,5,6,40,bistable2D
0.005899801,0.0032305664,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output5,5,6,40,bistable2D
0.005872172,0.0030092737,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output5,5,6,40,bistable2D
0.0057965745,0.0030789974,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output5,5,6,40,bistable2D
0.0057053235,0.0030911847,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output5,5,6,40,bistable2D
0.6799916,0.04643936,learn_koopman_eig.variance_normaliser,DNN_layers2_Tanh_hidden40_output7,7,2,40,bistable2D
0.6781179,0.04631421,learn_koopman_eig.variance_normaliser,DNN_layers2_Tanh_hidden40_output7,7,2,40,bistable2D
0.68475866,0.045009438,learn_koopman_eig.variance_normaliser,DNN_layers2_Tanh_hidden40_output7,7,2,40,bistable2D
0.68469507,0.046364874,learn_koopman_eig.variance_normaliser,DNN_layers2_Tanh_hidden40_output7,7,2,40,bistable2D
0.68190426,0.043989085,learn_koopman_eig.variance_normaliser,DNN_layers2_Tanh_hidden40_output7,7,2,40,bistable2D
0.6752542,0.042147003,learn_koopman_eig.variance_normaliser,DNN_layers2_Tanh_hidden40_output7,7,2,40,bistable2D
0.683169,0.044907853,learn_koopman_eig.variance_normaliser,DNN_layers2_Tanh_hidden40_output7,7,2,40,bistable2D
0.17076965,0.1684244,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output10,10,4,40,bistable2D
0.17050575,0.16720554,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output10,10,4,40,bistable2D
0.1704723,0.16805066,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output10,10,4,40,bistable2D
0.17414728,0.17005864,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output10,10,4,40,bistable2D
0.16633955,0.16445857,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output10,10,4,40,bistable2D
0.17441502,0.17157598,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output10,10,4,40,bistable2D
0.16615331,0.16490054,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output10,10,4,40,bistable2D
0.1755285,0.17033793,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output10,10,4,40,bistable2D
0.16990522,0.16736679,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output10,10,4,40,bistable2D
0.17474785,0.16992371,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output10,10,4,40,bistable2D
0.0053155115,0.0056951605,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output7,7,6,40,bistable2D
0.0054274746,0.0057277465,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output7,7,6,40,bistable2D
0.0053736186,0.0057673645,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output7,7,6,40,bistable2D
0.005718369,0.005996482,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output7,7,6,40,bistable2D
0.0049555097,0.0052618557,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output7,7,6,40,bistable2D
0.0052895835,0.0055719526,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output7,7,6,40,bistable2D
0.005397293,0.005532204,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output7,7,6,40,bistable2D
0.013472418,0.004852833,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output7,7,4,40,bistable2D
0.013942045,0.0049120774,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output7,7,4,40,bistable2D
0.0138486605,0.004744793,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output7,7,4,40,bistable2D
0.013390139,0.00475665,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output7,7,4,40,bistable2D
0.013468867,0.0049354485,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output7,7,4,40,bistable2D
0.01396596,0.0048982566,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output7,7,4,40,bistable2D
0.014235792,0.0049595875,learn_koopman_eig.variance_normaliser,DNN_layers4_Tanh_hidden40_output7,7,4,40,bistable2D
0.044844966,0.07594309,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output1,1,6,40,bistable2D
0.041893534,0.01627824,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output3,3,6,40,2bitFlipFlop_GRU2
0.04121945,0.016239347,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output3,3,6,40,2bitFlipFlop_GRU2
0.04097165,0.01608231,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output3,3,6,40,2bitFlipFlop_GRU2
0.06025203,0.01731587,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output5,5,6,40,2bitFlipFlop_GRU2
0.058551062,0.016378561,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output5,5,6,40,2bitFlipFlop_GRU2
0.05932898,0.016271545,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output5,5,6,40,2bitFlipFlop_GRU2
0.05808434,0.016276916,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output5,5,6,40,2bitFlipFlop_GRU2
0.058585435,0.016718674,learn_koopman_eig.variance_normaliser,DNN_layers6_Tanh_hidden40_output5,5,6,40,2bitFlipFlop_GRU2
0.20900312,0.015316868,learn_koopman_eig.variance_normaliser,DNN_layers2_Tanh_hidden40_output7,7,2,40,2bitFlipFlop_GRU2
0.2064723,0.015119027,learn_koopman_eig.variance_normaliser,DNN_layers2_Tanh_hidden40_output7,7,2,40,2bitFlipFlop_GRU2
0.20632716,0.015016718,learn_koopman_eig.variance_normaliser,DNN_layers2_Tanh_hidden40_output7,7,2,40,2bitFlipFlop_GRU2
